field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,False,,
symbolset,SmallInteger,2,Symbol Set,NON_NULLABLE,ControlMeasuresLines,25,False,,
symbolentity,Integer,4,Line Entity,NULLABLE,Control_Measure_Line_Entities,,False,,
echelon,Integer,4,Echelon,NULLABLE,Echelons,,False,,
status,SmallInteger,2,Status,NULLABLE,Statuses,,False,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,False,,
uniquedesignation2,String,30,Unique Designation 2,NULLABLE,,,False,,
additionalinformation,String,20,Additional Information,NULLABLE,,,False,,
distance,Double,8,Distance (meters),NULLABLE,,,False,,
azimuth,SmallInteger,2,Azimuth (degrees),NULLABLE,,,False,,
targetdesignator,String,6,Target Designator,NULLABLE,,,False,,
length,Double,8,Length,NULLABLE,,,False,,
width,Double,8,Width,NULLABLE,,,False,,
hostile,String,3,Hostile (ENY),NULLABLE,,,False,,
type,String,24,Type of Equipment,NULLABLE,,,False,,
x,Double,8,X Location,NULLABLE,,,False,,
y,Double,8,Y Location,NULLABLE,,,False,,
z,Double,8,Altitude/Depth,NULLABLE,,,False,,
z2,Double,8,Altitude/Depth 2,NULLABLE,,,False,,
countrycode,String,3,Country Code,NULLABLE,CountryCodes,,False,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,False,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,False,,
createdby,String,50,Created By,NULLABLE,,,False,,
createdtime,Date,8,Created Time,NULLABLE,,,False,,
editedby,String,50,Edited By,NULLABLE,,,False,,
editedtime,Date,8,Edited Time,NULLABLE,,,False,,
usecontrolpoints,SmallInteger,2,Use Control Points,NULLABLE,TrueFalse,0,False,,
optionallabel,String,30,Optional Label,NULLABLE,,,False,,
