ID,NAME,POINT_X,POINT_Y
1,Rowton,-2.516667,52.766670
2,Mixbury,-1.116667,52.000004
3,Malpas,-2.850000,53.016667
4,London,-0.166660,51.516666
5,Beesttown,-1.216666,52.933333
6,Baydown,-1.600000,51.516666
7,Barwell,-1.333333,52.566660
8,Aldsworth,-1.783333,51.783333
9,Pontlyfni,-4.319445,53.036384
10,Middlesbrough,-1.166667,54.566665
11,Harrogate,-1.549999,53.983333
12,Beddgelert,-4.100000,53.016666
13,Pulrose,-4.500000,54.250000
14,Stretchleigh,-3.950000,50.383331
15,Menabilly,-4.666667,50.316669
16,Perth,-3.433333,56.400002
17,Loch Tay,-4.166667,56.533333
18,Glenrothes,-3.166667,56.250000
19,Mooresfort,-8.333333,52.450000
20,Limerick,-8.783333,52.566665
21,Bovedy,-6.333333,54.566660
22,Copinsay,-2.683333,58.900000
